Title,Location,Price,Area,Rooms
                        Apartment Galvanistraat 4 H                            ,            1098 NL Amsterdam (Middenmeer)        ,"                €2,250 per month            ",90 m²,4 rooms
                        Apartment Ceintuurbaan 93 3+4                            ,            1072 EX Amsterdam (Oude Pijp)        ,"                €2,495 per month            ",95 m²,3 rooms
                        Apartment Nieuwe Herengracht                            ,            1011 RL Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",80 m²,3 rooms
                        Apartment Julius Pergerstraat                            ,            1087 KN Amsterdam (IJburg Zuid)        ,"                €2,000 per month            ",85 m²,3 rooms
                        Apartment Herengracht                            ,            1017 BS Amsterdam (Grachtengordel-Zuid)        ,"                €1,950 per month            ",55 m²,2 rooms
                        Apartment Werkhovenstraat                            ,            1107 KD Amsterdam (Gein)        ,"                €1,750 per month            ",90 m²,5 rooms
                        House De Wittenkade 55                            ,            1052 AD Amsterdam (Staatsliedenbuurt)        ,"                €2,500 per month            ",116 m²,4 rooms
                        Apartment Eerste Hugo de Grootstraat 7 hs                            ,            1052 KK Amsterdam (Frederik Hendrikbuurt)        ,"                €2,350 per month            ",69 m²,2 rooms
                        Apartment Dalsteindreef 310                            ,"            1102 WZ Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,450 per month            ",59 m²,2 rooms
                        Apartment Marskramerstraat 19                            ,            1033 WH Amsterdam (Oostzanerwerf)        ,"                €1,500 per month            ",60 m²,2 rooms
                        Apartment Wijttenbachstraat 64 E                            ,            1093 JG Amsterdam (Dapperbuurt)        ,"                €1,650 per month            ",36 m²,2 rooms
                        Apartment Johan Hofmanstraat                            ,            1069 KE Amsterdam (Osdorp-Midden)        ,"                €2,250 per month            ",96 m²,3 rooms
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,450 per month            ",42 m²,3 rooms
                        Apartment Faas Wilkesstraat                            ,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,450 per month            ",105 m²,4 rooms
                        Apartment Statenjachtstraat                            ,            1034 GA Amsterdam (Banne Buiksloot)        ,"                €1,750 per month            ",80 m²,3 rooms
                        Apartment Nijenburg                            ,            1081 GG Amsterdam (Buitenveldert-West)        ,"                €2,100 per month            ",90 m²,3 rooms
                        Apartment Lauriergracht 123 hs                            ,            1016 RK Amsterdam (Jordaan)        ,"                €3,250 per month            ",130 m²,2 rooms
                        Apartment Tweede Jan Steenstraat 53 C                            ,            1074 CK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",86 m²,4 rooms
                        Apartment Jasper Leijnsenstraat 25 I                            ,            1056 XW Amsterdam (Landlust)        ,"                €1,950 per month            ",50 m²,3 rooms
