Title,Location,Price,Area,Rooms
                        Apartment Jan van Duivenvoordestraat 119                            ,            1067 MT Amsterdam (Geuzenveld)        ,"                €1,900 per month            ",95 m²,4 rooms
                        Apartment Gustav Mahlerlaan                            ,            1082 ME Amsterdam (Zuidas)        ,"                €3,950 per month            ",112 m²,3 rooms
                        Apartment Doggersbankstraat 17 3                            ,            1055 NW Amsterdam (Landlust)        ,"                €1,800 per month            ",56 m²,4 rooms
                        Apartment Prinsengracht                            ,            1017 KK Amsterdam (De Weteringschans)        ,"                €4,500 per month            ",185 m²,6 rooms
                        Apartment Sint Willibrordusstraat                            ,            1073 VC Amsterdam (Nieuwe Pijp)        ,"                €3,000 per month            ",105 m²,3 rooms
                        Apartment Rooseveltlaan 40 2                            ,            1078 NK Amsterdam (Scheldebuurt)        ,"                €3,500 per month            ",128 m²,5 rooms
                        Apartment Ruysdaelstraat                            ,            1071 WZ Amsterdam (Museumkwartier)        ,"                €2,300 per month            ",66 m²,3 rooms
                        Apartment Orteliuskade                            ,            1057 AH Amsterdam (Hoofdweg e.o.)        ,"                €1,725 per month            ",62 m²,3 rooms
                        Apartment Leidsekade 102 D                            ,            1017 PP Amsterdam (De Weteringschans)        ,"                €4,500 per month            ",141 m²,3 rooms
                        Apartment Prinsengracht 17 C                            ,            1015 DK Amsterdam (Grachtengordel-West)        ,"                €2,300 per month            ",80 m²,4 rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Eerste Helmersstraat 188 3                            ,            1054 EL Amsterdam (Overtoomse Sluis)        ,"                €2,000 per month            ",64 m²,3 rooms
                        Apartment Pieter Oosterhuisstraat                            ,            1087 HT Amsterdam (IJburg Zuid)        ,"                €2,350 per month            ",112 m²,3 rooms
                        Apartment IJburglaan                            ,            1086 ZJ Amsterdam (IJburg West)        ,"                €1,350 per month            ",42 m²,2 rooms
                        Apartment Govert Flinckstraat                            ,            1073 CJ Amsterdam (Oude Pijp)        ,"                €2,750 per month            ",72 m²,3 rooms
                        Apartment Bankastraat                            ,            1094 EB Amsterdam (Indische Buurt West)        ,"                €1,600 per month            ",60 m²,2 rooms
                        Apartment Oudeschans 7 D                            ,            1011 KP Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,950 per month            ",90 m²,3 rooms
                        Apartment Vrolikstraat 290 2                            ,            1092 VA Amsterdam (Oosterparkbuurt)        ,"                €2,100 per month            ",54 m²,3 rooms
                        Apartment Osdorpplein                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €2,150 per month            ",74 m²,3 rooms
                        Apartment Osdorpplein                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,650 per month            ",65 m²,2 rooms
                        House Leidsegracht                            ,            1016 CP Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",201 m²,6 rooms
                        Apartment Reyer Anslostraat 19 hs                            ,            1054 KT Amsterdam (Overtoomse Sluis)        ,"                €2,850 per month            ",103 m²,3 rooms
                        Apartment Volewijkshof 33                            ,            1031 AG Amsterdam (Volewijck)        ,"                €1,600 per month            ",75 m²,3 rooms
                        Apartment Stadionweg 154 A                            ,            1077 TA Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",120 m²,4 rooms
                        Apartment Ophemerthof                            ,            1106 VS Amsterdam (Holendrecht/Reigersbos)        ,"                €1,600 per month            ",60 m²,3 rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Kastelenstraat 307 3                            ,            1082 EH Amsterdam (Buitenveldert-West)        ,"                €1,650 per month            ",75 m²,3 rooms
                        Apartment Rijnstraat                            ,            1078 RB Amsterdam (IJselbuurt)        ,"                €1,250 per month            ",35 m²,2 rooms
                        Apartment Lorreinenstraat 8 H                            ,            1055 CZ Amsterdam (Erasmuspark)        ,"                €2,150 per month            ",85 m²,3 rooms
                        Apartment Koninginneweg                            ,            1075 EE Amsterdam (Willemspark)        ,"                €2,950 per month            ",90 m²,3 rooms
                        Apartment Barentszplein                            ,            1013 NJ Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €2,500 per month            ",83 m²,2 rooms
                        Apartment Sassenheimstraat 65 C                            ,            1059 BD Amsterdam (Hoofddorppleinbuurt)        ,"                €3,750 per month            ",115 m²,5 rooms
                        Apartment Kuipersstraat                            ,            1074 EK Amsterdam (Nieuwe Pijp)        ,"                €2,950 per month            ",77 m²,3 rooms
                        Apartment Admiraal De Ruijterweg                            ,            1055 MV Amsterdam (Landlust)        ,"                €3,975 per month            ",110 m²,5 rooms
                        Apartment Jan Evertsenstraat                            ,            1056 EG Amsterdam (Van Galenbuurt)        ,"                €1,595 per month            ",49 m²,3 rooms
                        Apartment Cornelis Vermuydenstraat                            ,            1018 RN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,200 per month            ",75 m²,3 rooms
                        Apartment Van Spilbergenstraat                            ,            1057 RJ Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",55 m²,3 rooms
                        Apartment Derde Helmersstraat                            ,            1054 BM Amsterdam (Helmersbuurt)        ,"                €2,250 per month            ",68 m²,3 rooms
                        Apartment Derde Helmersstraat                            ,            1054 BM Amsterdam (Helmersbuurt)        ,"                €4,000 per month            ",122 m²,4 rooms
                        Apartment Oostenburgergracht 57 B                            ,            1018 NB Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,650 per month            ",80 m²,3 rooms
                        House Lijnbaansgracht                            ,            1015 GS Amsterdam (Jordaan)        ,"                €2,300 per month            ",57 m²,3 rooms
                        Apartment Frans van Mierisstraat                            ,            1071 RV Amsterdam (Museumkwartier)        ,"                €4,250 per month            ",107 m²,4 rooms
                        House Plantage Muidergracht                            ,            1018 TM Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",55 m²,2 rooms
                        Apartment Maritzstraat 14 3                            ,            1091 KW Amsterdam (Transvaalbuurt)        ,"                €1,800 per month            ",48 m²,2 rooms
                        House Bosplaat                            ,            1025 AR Amsterdam (Buikslotermeer)        ,"                €2,500 per month            ",130 m²,3 rooms
                        Apartment Kerkstraat                            ,            1017 HX Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",70 m²,3 rooms
                        Apartment Eerste Helmersstraat 289 2                            ,            1054 EA Amsterdam (Overtoomse Sluis)        ,"                €3,100 per month            ",70 m²,3 rooms
                        Apartment Mercatorstraat 38 3                            ,            1056 RH Amsterdam (Van Galenbuurt)        ,"                €1,850 per month            ",65 m²,3 rooms
                        Apartment Albert Cuypstraat                            ,            1073 BK Amsterdam (Oude Pijp)        ,"                €2,145 per month            ",70 m²,2 rooms
                        Apartment Eerste Jan van der Heijdenstraat                            ,            1072 TS Amsterdam (Oude Pijp)        ,"                €1,695 per month            ",55 m²,3 rooms
                        House Dichtershofje 2                            ,            1053 RR Amsterdam (Kinkerbuurt)        ,"                €2,350 per month            ",77 m²,3 rooms
                        Apartment Gustav Mahlerlaan 931                            ,            1082 MK Amsterdam (Zuidas)        ,"                €3,400 per month            ",110 m²,3 rooms
                        Apartment Meer en Vaart 38 C                            ,            1068 ZZ Amsterdam (Osdorp-Oost)        ,"                €1,910 per month            ",166 m²,4 rooms
                        Apartment Spinozastraat                            ,            1018 HJ Amsterdam (Weesperbuurt/Plantage)        ,"                €3,450 per month            ",140 m²,5 rooms
                        Apartment Overtoom                            ,            1054 JD Amsterdam (Helmersbuurt)        ,"                €2,500 per month            ",87 m²,3 rooms
                        House Leidsegracht                            ,            1017 NC Amsterdam (De Weteringschans)        ,"                €2,000 per month            ",120 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Montelbaanstraat                            ,            1011 EG Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,950 per month            ",52 m²,3 rooms
                        House Herengracht 315                            ,            1016 AV Amsterdam (Grachtengordel-West)        ,"                €3,250 per month            ",170 m²,4 rooms
                        Apartment Brouwersgracht 75 G                            ,            1015 GC Amsterdam (Grachtengordel-West)        ,"                €2,850 per month            ",138 m²,3 rooms
                        House Pythagorasstraat                            ,            1098 GB Amsterdam (Middenmeer)        ,"                €3,250 per month            ",106 m²,4 rooms
                        Apartment Ceintuurbaan                            ,            1074 CZ Amsterdam (Oude Pijp)        ,"                €3,250 per month            ",178 m²,5 rooms
                        Apartment Javastraat                            ,            1094 HN Amsterdam (Indische Buurt West)        ,"                €1,750 per month            ",46 m²,2 rooms
                        Apartment Pieter Calandlaan                            ,            1060 TX Amsterdam (Middelveldsche Akerpolder)        ,"                €2,250 per month            ",96 m²,4 rooms
                        Apartment Marnixstraat 198 3                            ,            1016 TJ Amsterdam (Jordaan)        ,"                €2,850 per month            ",119 m²,3 rooms
                        Apartment Herengracht                            ,            1015 BK Amsterdam (Grachtengordel-West)        ,"                €2,000 per month            ",60 m²,2 rooms
                        Apartment Lauriergracht 92 H                            ,            1016 RN Amsterdam (Jordaan)        ,"                €4,350 per month            ",150 m²,5 rooms
                        Apartment Herengracht                            ,            1016 BH Amsterdam (Grachtengordel-West)        ,"                €2,850 per month            ",123 m²,3 rooms
                        Apartment Van Walbeeckstraat                            ,            1058 CX Amsterdam (Westindische Buurt)        ,"                €1,700 per month            ",59 m²,3 rooms
                        Apartment Admiraal De Ruijterweg 89 3                            ,            1056 ET Amsterdam (Geuzenbuurt)        ,"                €1,800 per month            ",63 m²,2 rooms
                        Apartment Weteringschans 119 I                            ,            1017 SC Amsterdam (De Weteringschans)        ,"                €2,150 per month            ",68 m²,2 rooms
                        Apartment Willem Parelstraat 288                            ,            1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,699 per month            ",43 m²,2 rooms
                        House Singel 377                            ,            1012 WL Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,450 per month            ",115 m²,4 rooms
                        House Stadionkade                            ,            1076 BJ Amsterdam (Stadionbuurt)        ,"                €2,800 per month            ",100 m²,4 rooms
                        Apartment Eerste Helmersstraat                            ,            1054 DZ Amsterdam (Overtoomse Sluis)        ,"                €2,000 per month            ",62 m²,2 rooms
                        Apartment Poeldijkstraat 357 PP                            ,            1059 VL Amsterdam (Westlandgracht)        ,"                €3,750 per month            ",115 m²,4 rooms
                        Apartment Admiraliteitstraat                            ,            1018 KP Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,675 per month            ",60 m²,2 rooms
                        Apartment Albert Cuypstraat                            ,            1072 CR Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",50 m²,3 rooms
                        House Willemskerkestraat                            ,            1069 AA Amsterdam (Osdorp-Midden)        ,"                €2,995 per month            ",138 m²,7 rooms
                        Apartment Bilderdijkstraat                            ,            1053 KN Amsterdam (Da Costabuurt)        ,"                €2,650 per month            ",120 m²,3 rooms
                        House Amelandstraat                            ,            1025 RK Amsterdam (Tuindorp Buiksloot)        ,"                €2,100 per month            ",141 m²,4 rooms
                        Apartment Sprinklerstraat                            ,            1019 VR Amsterdam (Oostelijk Havengebied)        ,"                €1,995 per month            ",62 m²,3 rooms
                        Apartment Valkenburgerstraat 132 F                            ,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,150 per month            ",95 m²,3 rooms
                        Apartment Planciusstraat 9                            ,            1013 MD Amsterdam (Haarlemmerbuurt)        ,"                €3,250 per month            ",157 m²,2 rooms
                        Apartment Warmoesstraat 50 Y                            ,            1012 JE Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,150 per month            ",50 m²,2 rooms
                        Apartment Keizersgracht 634 L                            ,            1017 ER Amsterdam (Grachtengordel-Zuid)        ,"                €2,250 per month            ",65 m²,2 rooms
                        Apartment George Gershwinlaan 46                            ,            1082 MT Amsterdam (Zuidas)        ,"                €3,250 per month            ",80 m²,3 rooms
                        Apartment Bilderdijkstraat                            ,            1053 KN Amsterdam (Da Costabuurt)        ,"                €2,650 per month            ",120 m²,3 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Albatrospad 142 7                            ,            1021 TR Amsterdam (IJplein/Vogelbuurt)        ,"                €2,950 per month            ",130 m²,3 rooms
                        Apartment Ben Viljoenstraat                            ,            1091 XS Amsterdam (Transvaalbuurt)        ,"                €2,950 per month            ",85 m²,4 rooms
                        Apartment Kromme-Mijdrechtstraat                            ,            1079 KP Amsterdam (Rijnbuurt)        ,"                €2,950 per month            ",75 m²,3 rooms
                        Apartment Van Beuningenstraat 3 A                            ,            1051 XC Amsterdam (Staatsliedenbuurt)        ,"                €2,200 per month            ",80 m²,4 rooms
                        House Eerste Jan van der Heijdenstraat 53 A                            ,            1072 TK Amsterdam (Oude Pijp)        ,"                €3,000 per month            ",102 m²,3 rooms
                        Apartment Plantage Muidergracht 55 4                            ,            1018 TM Amsterdam (Weesperbuurt/Plantage)        ,"                €1,990 per month            ",65 m²,2 rooms
                        Apartment Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,250 per month            ",130 m²,4 rooms
                        Apartment Pekelharingstraat 11 1                            ,            1097 HH Amsterdam (Frankendael)        ,"                €1,800 per month            ",58 m²,2 rooms
                        Apartment Lindengracht                            ,            1015 KJ Amsterdam (Jordaan)        ,"                €4,000 per month            ",210 m²,6 rooms
                        Apartment Hendrik Jacobszstraat                            ,            1075 PD Amsterdam (Willemspark)        ,"                €2,850 per month            ",112 m²,4 rooms
                        House Genhoes 4                            ,            1082 BC Amsterdam (Buitenveldert-West)        ,"                €14,000 per month            ",342 m²,8 rooms
                        Apartment Minervalaan 33 H                            ,            1077 NL Amsterdam (Apollobuurt)        ,"                €4,450 per month            ",164 m²,7 rooms
                        Apartment Bella Vistastraat                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €3,250 per month            ",116 m²,4 rooms
                        Apartment Maarten Jansz. Kosterstraat                            ,            1017 VZ Amsterdam (De Weteringschans)        ,"                €2,950 per month            ",115 m²,4 rooms
                        Studio Ferdinand Bolstraat                            ,            1072 LJ Amsterdam (Oude Pijp)        ,"                €1,800 per month            ",40 m²,1 room
                        Apartment Saxenburgerstraat                            ,            1054 KM Amsterdam (Overtoomse Sluis)        ,"                €3,500 per month            ",116 m²,4 rooms
                        Apartment Nieuwe Leliestraat                            ,            1015 SX Amsterdam (Jordaan)        ,"                €2,450 per month            ",73 m²,2 rooms
                        Apartment Kromme-Mijdrechtstraat                            ,            1079 KP Amsterdam (Rijnbuurt)        ,"                €2,350 per month            ",80 m²,2 rooms
                        Apartment Van Tuyll van Serooskerkenweg 62 1                            ,            1076 JN Amsterdam (Stadionbuurt)        ,"                €2,400 per month            ",80 m²,3 rooms
                        Apartment Brouwersgracht                            ,            1013 HC Amsterdam (Haarlemmerbuurt)        ,"                €3,000 per month            ",101 m²,3 rooms
                        Apartment J.F. van Hengelstraat                            ,            1019 DC Amsterdam (Oostelijk Havengebied)        ,"                €2,795 per month            ",140 m²,3 rooms
                        House Keverberg                            ,            1082 BD Amsterdam (Buitenveldert-West)        ,"                €3,950 per month            ",170 m²,5 rooms
                        Apartment Arent Janszoon Ernststraat 43                            ,            1083 GP Amsterdam (Buitenveldert-Oost)        ,"                €2,950 per month            ",135 m²,4 rooms
                        Apartment Amstel                            ,            1018 ES Amsterdam (Weesperbuurt/Plantage)        ,"                €3,250 per month            ",82 m²,3 rooms
                        Apartment Vierwindenstraat                            ,            1013 LA Amsterdam (Haarlemmerbuurt)        ,"                €7,500 per month            ",236 m²,9 rooms
                        House Adriënne Solserhof 2                            ,            1087 MT Amsterdam (IJburg Zuid)        ,"                €3,750 per month            ",176 m²,4 rooms
                        Apartment Venetiëhof 67                            ,            1019 NB Amsterdam (Oostelijk Havengebied)        ,"                €2,250 per month            ",102 m²,4 rooms
                        Apartment Prinsengracht 1069                            ,            1017 JG Amsterdam (Grachtengordel-Zuid)        ,"                €3,750 per month            ",142 m²,3 rooms
                        Apartment Anna Blamansingel                            ,"            1102 ST Amsterdam (Bijlmer Centrum (D,F,H))        ","                €2,450 per month            ",102 m²,3 rooms
                        Apartment Grote Bickersstraat 23 H                            ,            1013 KN Amsterdam (Haarlemmerbuurt)        ,"                €2,200 per month            ",62 m²,2 rooms
                        Apartment Bilderdijkstraat                            ,            1053 KN Amsterdam (Da Costabuurt)        ,"                €2,650 per month            ",120 m²,3 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Herengracht 132 E                            ,            1015 BV Amsterdam (Grachtengordel-West)        ,"                €7,500 per month            ",162 m²,3 rooms
                        Apartment Gelrestraat                            ,            1079 MZ Amsterdam (Scheldebuurt)        ,"                €1,725 per month            ",55 m²,2 rooms
                        Apartment Eef Kamerbeekstraat 302                            ,            1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,500 per month            ",126 m²,4 rooms
                        Apartment Rapenburgerstraat                            ,            1011 MK Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,350 per month            ",90 m²,3 rooms
                        Apartment Ferguutstraat                            ,            1055 SZ Amsterdam (Erasmuspark)        ,"                €2,050 per month            ",100 m²,5 rooms
                        Apartment Hofgeest 15                            ,"            1102 EA Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,450 per month            ",90 m²,4 rooms
                        Apartment Kribbestraat                            ,            1079 WV Amsterdam (Rijnbuurt)        ,"                €2,150 per month            ",58 m²,3 rooms
                        Apartment Amstelveenseweg                            ,            1075 XR Amsterdam (Schinkelbuurt)        ,"                €2,750 per month            ",92 m²,4 rooms
                        Apartment Vierwindenstraat                            ,            1013 CW Amsterdam (Haarlemmerbuurt)        ,"                €2,300 per month            ",95 m²,3 rooms
                        Apartment Cornelis Schuytstraat                            ,            1071 JH Amsterdam (Museumkwartier)        ,"                €4,250 per month            ",142 m²,4 rooms
                        Apartment Egelantiersstraat                            ,            1015 PP Amsterdam (Jordaan)        ,"                €2,250 per month            ",80 m²,2 rooms
                        Apartment Wilhelminastraat                            ,            1054 WS Amsterdam (Overtoomse Sluis)        ,"                €1,950 per month            ",75 m²,2 rooms
                        Apartment Vrijheidslaan 75 2                            ,            1079 KG Amsterdam (Rijnbuurt)        ,"                €2,500 per month            ",65 m²,3 rooms
                        Apartment Kuipersstraat 4 C                            ,            1074 EK Amsterdam (Nieuwe Pijp)        ,"                €3,750 per month            ",132 m²,4 rooms
                        Apartment Korte Koningsstraat 14 bgg                            ,            1011 GA Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,100 per month            ",120 m²,2 rooms
                        Apartment Nieuwe Oostenburgerstraat 1 D                            ,            1018 MB Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,000 per month            ",120 m²,5 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Oostenburgervoorstraat                            ,            1018 MR Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,100 per month            ",100 m²,3 rooms
                        Apartment Okeghemstraat 35                            ,            1075 PL Amsterdam (Willemspark)        ,"                €3,950 per month            ",120 m²,4 rooms
                        Apartment Silodam                            ,            1013 AW Amsterdam (Houthavens)        ,"                €2,950 per month            ",135 m²,5 rooms
                        Apartment Rijnsburgstraat                            ,            1059 AV Amsterdam (Hoofddorppleinbuurt)        ,"                €2,250 per month            ",80 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Korte Prinsengracht 46 A                            ,            1013 GT Amsterdam (Haarlemmerbuurt)        ,"                €4,675 per month            ",170 m²,5 rooms
                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,750 per month            ",100 m²,3 rooms
                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms
                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms
                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms
                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,750 per month            ",117 m²,4 rooms
                        Apartment Kalkmarkt                            ,            1011 BC Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,795 per month            ",45 m²,2 rooms
                        Apartment Beysterveld                            ,            1083 KA Amsterdam (Buitenveldert-Oost)        ,"                €2,750 per month            ",110 m²,3 rooms
                        Apartment Bilderdijkstraat                            ,            1053 KN Amsterdam (Da Costabuurt)        ,"                €2,650 per month            ",120 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Van Hallstraat                            ,            1051 GX Amsterdam (Staatsliedenbuurt)        ,"                €2,150 per month            ",50 m²,2 rooms
                        Apartment Marskramerstraat                            ,            1033 WG Amsterdam (Oostzanerwerf)        ,"                €3,200 per month            ",196 m²,6 rooms
                        Apartment Albert Cuypstraat                            ,            1072 CN Amsterdam (Oude Pijp)        ,"                €2,650 per month            ",100 m²,3 rooms
                        Apartment Keizersgracht                            ,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",78 m²,2 rooms
                        Apartment Da Costakade                            ,            1053 XE Amsterdam (Van Lennepbuurt)        ,"                €3,650 per month            ",130 m²,4 rooms
                        Apartment Keizersgracht                            ,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",80 m²,2 rooms
                        Apartment Pieter de Hoochstraat                            ,            1071 ED Amsterdam (Museumkwartier)        ,"                €3,700 per month            ",130 m²,3 rooms
                        House Eef Kamerbeekpad 1                            ,            1095 MZ Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €3,500 per month            ",160 m²,5 rooms
                        Apartment Hogewerf                            ,            1082 NG Amsterdam (Buitenveldert-Oost)        ,"                €2,250 per month            ",85 m²,2 rooms
                        Apartment Overamstelstraat                            ,            1091 TM Amsterdam (Weesperzijde)        ,"                €2,095 per month            ",80 m²,3 rooms
                        Apartment Tweede Kostverlorenkade 137 3                            ,            1053 SE Amsterdam (Van Lennepbuurt)        ,"                €1,995 per month            ",62 m²,3 rooms
                        House Akerpolderstraat                            ,            1066 ET Amsterdam (Sloter-/Riekerpolder)        ,"                €3,500 per month            ",169 m²,6 rooms
                        House Pijlkruidstraat 1                            ,            1087 CE Amsterdam (IJburg West)        ,"                €2,750 per month            ",135 m²,5 rooms
                        Apartment Rie Mastenbroekstraat 47                            ,            1095 MJ Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,750 per month            ",70 m²,3 rooms
                        Apartment Derde Schinkelstraat 4 A                            ,            1075 TL Amsterdam (Schinkelbuurt)        ,"                €2,650 per month            ",70 m²,4 rooms
                        Apartment Tweede Jan van der Heijdenstraat 3 H                            ,            1073 VE Amsterdam (Oude Pijp)        ,"                €6,000 per month            ",149 m²,5 rooms
                        Apartment Keizersgracht                            ,            1017 DL Amsterdam (Grachtengordel-Zuid)        ,"                €3,450 per month            ",120 m²,3 rooms
                        Apartment H. Diesveldsingel                            ,            1060 RL Amsterdam (Middelveldsche Akerpolder)        ,"                €1,750 per month            ",100 m²,3 rooms
                        Apartment Borneostraat                            ,            1094 CJ Amsterdam (Indische Buurt West)        ,"                €2,200 per month            ",107 m²,3 rooms
                        Apartment Jan van Galenstraat 183 1                            ,            1056 BS Amsterdam (Van Galenbuurt)        ,"                €1,650 per month            ",50 m²,2 rooms
                        Apartment Céramiquelaan                            ,            1031 KG Amsterdam (Noordelijke IJ-oevers West)        ,"                €4,000 per month            ",110 m²,4 rooms
                        Apartment Nieuwezijds Voorburgwal 255                            ,            1012 RL Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,650 per month            ",111 m²,3 rooms
                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,750 per month            ",50 m²,2 rooms
                        Apartment Maria Austriastraat                            ,            1087 CN Amsterdam (IJburg West)        ,"                €2,350 per month            ",130 m²,4 rooms
                        Apartment Lucellestraat                            ,            1055 HX Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,3 rooms
                        Apartment Jacob van Lennepkade                            ,            1054 ZG Amsterdam (Helmersbuurt)        ,"                €1,950 per month            ",56 m²,2 rooms
                        Apartment Van Tuyll van Serooskerkenweg 110 3                            ,            1076 JR Amsterdam (Stadionbuurt)        ,"                €3,850 per month            ",125 m²,5 rooms
                        Apartment Cornelis Schuytstraat 25 2+3                            ,            1071 JD Amsterdam (Museumkwartier)        ,"                €3,950 per month            ",150 m²,4 rooms
                        Apartment Saxen-Weimarlaan                            ,            1075 BZ Amsterdam (Willemspark)        ,"                €2,750 per month            ",90 m²,3 rooms
                        Apartment Nieuwe Leliestraat                            ,            1015 SP Amsterdam (Jordaan)        ,"                €2,750 per month            ",73 m²,3 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Grootzeil                            ,            1034 LV Amsterdam (Banne Buiksloot)        ,"                €2,250 per month            ",93 m²,4 rooms
                        House Johannes Verhulststraat 151 H                            ,            1075 GW Amsterdam (Willemspark)        ,"                €11,000 per month            ",255 m²,10 rooms
                        Apartment S. F. van Ossstraat                            ,            1068 JN Amsterdam (Osdorp-Oost)        ,"                €1,550 per month            ",55 m²,2 rooms
                        Apartment Sarphatipark                            ,            1073 CZ Amsterdam (Nieuwe Pijp)        ,"                €3,000 per month            ",88 m²,3 rooms
                        Apartment Geldersekade 45 A                            ,            1011 EJ Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",46 m²,1 room
                        Apartment Singel 436 E                            ,            1017 AV Amsterdam (Grachtengordel-Zuid)        ,"                €3,250 per month            ",140 m²,3 rooms
                        House Schapenburgerpad 20                            ,            1071 ZA Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",198 m²,6 rooms
                        Apartment Prinsengracht 689 4                            ,            1017 JV Amsterdam (Grachtengordel-Zuid)        ,"                €2,250 per month            ",65 m²,2 rooms
                        Apartment Korte Ouderkerkerdijk 1 C1                            ,            1096 AC Amsterdam (Omval/Overamstel)        ,"                €3,850 per month            ",139 m²,3 rooms
                        Apartment Gustav Mahlerlaan 359                            ,            1082 MK Amsterdam (Zuidas)        ,"                €5,850 per month            ",132 m²,3 rooms
                        Apartment Nassaukade 123 III                            ,            1052 EC Amsterdam (Frederik Hendrikbuurt)        ,"                €3,250 per month            ",108 m²,4 rooms
                        Apartment Gustav Mahlerplein 285 PH                            ,            1082 MS Amsterdam (Zuidas)        ,"                €8,000 per month            ",193 m²,4 rooms
                        Apartment Nieuwe Prinsengracht                            ,            1018 XH Amsterdam (Weesperbuurt/Plantage)        ,"                €1,950 per month            ",90 m²,2 rooms
